species,total_dia_disk_dia_ratio,arm_length,disk_diameter,arm_to_arm
Pisaster ochraceus,2.84,N/A,2.91,8.25
Pisaster ochraceus,3.29,N/A,6.39,21.00
Pisaster ochraceus,2.46,N/A,3.90,9.59
Pisaster ochraceus,2.71,N/A,3.35,9.09
Pisaster ochraceus,2.48,N/A,3.07,7.60
Pisaster ochraceus,3.13,N/A,3.00,9.38
Patiria miniata,2.01,8.50,10.00,N/A
Patiria miniata,1.97,8.10,9.00,N/A
Patiria miniata,1.95,7.00,8.80,N/A
Patiria miniata,1.86,5.80,7.20,N/A
Patiria miniata,1.79,5.60,5.80,N/A
Patiria miniata,1.28,5.20,5.10,N/A
Patiria miniata,1.20,1.20,2.10,N/A
Dermasterias imbricata,2.70,5.90,6.10,N/A
Dermasterias imbricata,2.68,5.87,5.50,N/A
Dermasterias imbricata,2.54,5.79,5.51,N/A
Dermasterias imbricata,2.55,4.20,5.02,N/A
Dermasterias imbricata,2.40,4.26,3.25,N/A
Dermasterias imbricata,2.32,4.23,3.00,N/A
Dermasterias imbricata,2.09,4.21,2.90,N/A
Dermasterias imbricata,1.75,2.50,1.80,N/A
Evasterias troschelii,5.70,10.20,4.28,N/A
Evasterias troschelii,5.10,8.40,3.10,N/A
Evasterias troschelii,4.60,7.50,2.70,N/A