species,total_dia_disk_dia_ratio,arm_length,disk_diameter
Patiria miniata,2.01,8.5,10
Patiria miniata,1.97,8.1,9
Patiria miniata,1.95,7,8.8
Patiria miniata,1.86,5.8,7.2
Patiria miniata,1.79,5.6,5.8
Patiria miniata,1.28,5.2,5.1
Patiria miniata,1.2,1.2,2.1
Dermasterias imbricata,2.7,5.9,6.1
Dermasterias imbricata,2.68,5.87,5.5
Dermasterias imbricata,2.54,5.79,5.51
Dermasterias imbricata,2.55,4.2,5.02
Dermasterias imbricata,2.4,4.26,3.25
Dermasterias imbricata,2.32,4.23,3
Dermasterias imbricata,2.09,4.21,2.9
Dermasterias imbricata,1.75,2.5,1.8
Evasterias troschelii,5.7,10.2,4.28
Evasterias troschelii,5.1,8.4,3.1
Evasterias troschelii,4.6,7.5,2.7